Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_name,SRA_accession,Title,INSDC_center_alias,strain,AssemblyName,ENA_checklist,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),specific_host,collection_date,host_health_state,supplier_name,collection_year,pmid,Scientific_Name,Tax_ID,sample_description,country,type-material
ERR017777,WGS,115,29970380,PRJEB2138,SAMN00009845,19176284,SC,public,"sra,srf","gs,s3,ncbi,ena","ena,gs.US,ncbi.public,s3.us-east-1",2010-08-31,2018-11-16,ERX006696,Illumina Genome Analyzer II,SamaraTB-batch1 1,PAIRED,RANDOM,GENOMIC,human gut metagenome,ILLUMINA,2011-03-18T00:00:00Z,unidentified,ERP000192,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR017778,WGS,115,338612095,PRJEB2138,SAMEA837978,217045381,SC,public,"sra,srf","ena,s3,gs,ncbi","s3.us-east-1,ncbi.public,ena,gs.US",2010-08-31,2018-11-16,ERX2008794,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837978,ERP000192,M05_03289-sc-2010-05-07-4868,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:22Z,public,ERS009080,ERS009080,Mycobacterium bovis,SC,05_03289,,,United Kingdom,Europe,United Kingdom,Homo sapiens,,,,2005,22294518,Mycobacterium tuberculosis,1773,,,
ERR017779,WGS,115,183497680,PRJEB2138,SAMEA837971,113991195,SC,public,"sra,srf","ena,s3,gs,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",2010-08-31,2018-11-16,ERX2008803,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837971,ERP000192,M08_14306-sc-2010-05-07-4881,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:22Z,public,ERS009093,ERS009093,Mycobacterium tuberculosis,SC,06_02213,,,United Kingdom,Europe,United Kingdom,Homo sapiens,,,,2006,22294518,Mycobacterium tuberculosis,1773,,,
ERR017780,WGS,115,428607185,PRJEB2138,SAMEA837973,269453762,SC,public,"sra,srf","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,ena,gs.US",2010-08-31,2018-11-16,ERX2008804,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant africanum,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837973,ERP000192,M06_01910-sc-2010-05-07-4880,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:22Z,public,ERS009092,ERS009092,Mycobacterium africanum,SC,05_04169,,,United Kingdom,Europe,United Kingdom,Homo sapiens,,,,2005,22294518,Mycobacterium tuberculosis,1773,,,
ERR017781,WGS,115,276284050,PRJEB2138,SAMEA838054,167909261,SC,public,"sra,srf","ena,gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,ena",2010-08-31,2018-11-16,ERX2008805,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA838054,ERP000192,M05_06174-sc-2010-05-07-4890,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:22Z,public,ERS009102,ERS009102,Mycobacterium tuberculosis,SC,M05/06174,,,,,,,,,,,,,,,,
ERR017782,WGS,115,225312370,PRJEB2138,SAMEA838051,141318652,SC,public,"sra,srf","ena,ncbi,s3,gs","ena,ncbi.public,s3.us-east-1,gs.US",2010-08-31,2018-11-16,ERX2008795,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA838051,ERP000192,M05_04169-sc-2010-05-07-4889,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:21Z,public,ERS009101,ERS009101,Mycobacterium tuberculosis,SC,06_01910,,,United Kingdom,Europe,United Kingdom,Homo sapiens,,,,2006,22294518,Mycobacterium tuberculosis,1773,,,
ERR017783,WGS,115,230990035,PRJEB2138,SAMEA838015,147120313,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",2010-08-31,2018-11-16,ERX2008796,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA838015,ERP000192,M06_02213-sc-2010-05-07-4888,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:21Z,public,ERS009100,ERS009100,Mycobacterium tuberculosis,SC,08_14306,,,Russia,Europe,Russia,Homo sapiens,,,,2008,22294518,Mycobacterium tuberculosis,1773,,,
ERR017784,WGS,115,256190790,PRJEB2138,SAMEA837974,159981832,SC,public,"sra,srf","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",2010-08-31,2018-11-16,ERX2008797,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837974,ERP000192,M05_06899-sc-2010-05-07-4887,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:53:16Z,public,ERS009099,ERS009099,Mycobacterium tuberculosis,SC,08_14310,,,Russia,Europe,Russia,Homo sapiens,,,,2008,22294518,Mycobacterium tuberculosis,1773,,,
ERR017785,WGS,115,169214105,PRJEB2138,SAMEA837976,106475898,SC,public,"sra,srf","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",2010-08-31,2018-11-16,ERX2008798,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837976,ERP000192,M08_00483-sc-2010-05-07-4886,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:22Z,public,ERS009098,ERS009098,M08_00483-sc-2010-05-07-4886,SC,08_14337,,,Russia,Europe,Russia,Homo sapiens,,,,2008,22294518,Mycobacterium tuberculosis,1773,,,
ERR017786,WGS,115,243910860,PRJEB2138,SAMEA837963,153738156,SC,public,"sra,srf","ena,gs,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",2010-08-31,2018-11-16,ERX2008799,Illumina Genome Analyzer II,NT20196N,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2011-03-18T00:00:00Z,SAMEA837963,ERP000192,M06_01971-sc-2010-05-07-4885,Wellcome Sanger Institute,2010-08-31T17:04:20Z,2018-03-09T09:52:21Z,public,ERS009097,ERS009097,Mycobacterium tuberculosis,SC,08_14329,,,Russia,Europe,Russia,Homo sapiens,,,,2008,22294518,Mycobacterium tuberculosis,1773,,,
