Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,INSDC_center_alias,strain,AssemblyName,ena_checklist,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),specific_host,Collection_Date,host_health_state,supplier_name,Collection_year,pmid,scientific_name,tax_id,sample_description,Country,type-material
ERR133798,WGS,200,975009800,PRJEB2138,SAMEA1403625,601725538,SC,public,"bam,sra","ena,ncbi,s3,gs","ena,ncbi.public,gs.US,s3.us-east-1",2012-06-06,2018-11-16,ERX109816,Illumina HiSeq 2000,4683806,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403625,ERP000192,0039T-sc-2012-02-09T18:55:21Z-1355131,Wellcome Sanger Institute,2012-06-06T13:42:24Z,2018-03-09T09:56:00Z,public,ERS094087,ERS094087,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0039T,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133799,WGS,200,1371254400,PRJEB2138,SAMEA1403970,847429353,SC,public,"sra,bam","ncbi,gs,s3,ena","ena,ncbi.public,gs.US,s3.us-east-1",2012-06-06,2018-11-16,ERX109817,Illumina HiSeq 2000,4683807,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403970,ERP000192,0048D-sc-2012-02-09T18:55:22Z-1355132,Wellcome Sanger Institute,2012-06-06T13:42:24Z,2018-03-09T09:55:46Z,public,ERS094088,ERS094088,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0048D,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133800,WGS,200,1274185200,PRJEB2138,SAMEA1403981,787860388,SC,public,"sra,bam","s3,ncbi,gs,ena","gs.US,s3.us-east-1,ena,ncbi.public",2012-06-06,2018-11-16,ERX109818,Illumina HiSeq 2000,4683808,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403981,ERP000192,0063V-sc-2012-02-09T18:55:23Z-1355133,Wellcome Sanger Institute,2012-06-06T13:42:24Z,2018-03-09T09:56:00Z,public,ERS094089,ERS094089,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0063V,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133801,WGS,200,584554600,PRJEB2138,SAMEA1403845,359949397,SC,public,"sra,bam","ncbi,s3,ena,gs","gs.US,ena,ncbi.public,s3.us-east-1",2012-06-06,2018-11-16,ERX109819,Illumina HiSeq 2000,4683809,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403845,ERP000192,0105Q-sc-2012-02-09T18:55:24Z-1355134,Wellcome Sanger Institute,2012-06-06T13:42:23Z,2018-03-09T09:56:00Z,public,ERS094090,ERS094090,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0105Q,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133802,WGS,200,649043800,PRJEB2138,SAMEA1403797,399302968,SC,public,"bam,sra","ncbi,s3,gs,ena","ena,ncbi.public,gs.US,s3.us-east-1",2012-06-06,2018-11-16,ERX109820,Illumina HiSeq 2000,4683810,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403797,ERP000192,0107S-sc-2012-02-09T18:55:25Z-1355135,Wellcome Sanger Institute,2012-06-06T13:42:23Z,2018-03-09T11:52:51Z,public,ERS094091,ERS094091,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0107S,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133803,WGS,200,1247632000,PRJEB2138,SAMEA1403803,768657692,SC,public,"sra,bam","gs,ncbi,s3,ena","ena,gs.US,ncbi.public,s3.us-east-1",2012-06-06,2018-11-16,ERX109821,Illumina HiSeq 2000,4683811,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403803,ERP000192,0123K-sc-2012-02-09T18:55:25Z-1355136,Wellcome Sanger Institute,2012-06-06T13:42:23Z,2018-03-09T11:52:51Z,public,ERS094092,ERS094092,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0123K,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133804,WGS,200,906569800,PRJEB2138,SAMEA1403806,558807183,SC,public,"sra,bam","ncbi,gs,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",2012-06-06,2018-11-16,ERX109822,Illumina HiSeq 2000,4683812,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403806,ERP000192,0124L-sc-2012-02-09T18:55:26Z-1355137,Wellcome Sanger Institute,2012-06-06T13:42:23Z,2018-03-09T09:56:00Z,public,ERS094093,ERS094093,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0124L,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133805,WGS,200,1150975000,PRJEB2138,SAMEA1403815,709473957,SC,public,"bam,sra","gs,ena,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2012-06-06,2018-11-16,ERX109823,Illumina HiSeq 2000,4683813,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403815,ERP000192,0125M-sc-2012-02-09T18:55:27Z-1355138,Wellcome Sanger Institute,2012-06-06T13:42:25Z,2018-03-09T09:55:46Z,public,ERS094094,ERS094094,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0125M,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133806,WGS,200,1431641200,PRJEB2138,SAMEA1403822,883729769,SC,public,"bam,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public,ena",2012-06-06,2018-11-16,ERX109824,Illumina HiSeq 2000,4683814,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403822,ERP000192,0126N-sc-2012-02-09T18:55:27Z-1355139,Wellcome Sanger Institute,2012-06-06T13:42:25Z,2018-03-09T09:56:00Z,public,ERS094095,ERS094095,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0126N,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
ERR133807,WGS,200,1380479400,PRJEB2138,SAMEA1403897,848903161,SC,public,"bam,sra","ncbi,ena,s3,gs","ena,s3.us-east-1,gs.US,ncbi.public",2012-06-06,2018-11-16,ERX109825,Illumina HiSeq 2000,4683815,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2012-08-04T00:00:00Z,SAMEA1403897,ERP000192,0128Q-sc-2012-02-09T18:55:28Z-1355140,Wellcome Sanger Institute,2012-06-06T13:42:23Z,2018-03-09T10:03:50Z,public,ERS094096,ERS094096,Mycobacterium tuberculosis; Mycobacterium tuberculosis,SC,0128Q,GCA_000195955.1,ERC000011,Russia,Europe,Russia,Homo sapiens,2008,disease,,,,,,,,
