Seqfile,seqtype,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,AvgQual,ErrQual,Ambiguous
ERR017791,paired,1004374,109429151,63.5,30,54,60,32.3,26.9,0.0
ERR019561,paired,440240,48244265,62.9,30,54,60,33.0,28.5,0.0
ERR015611,paired,21307345,2107564001,64.6,30,49,50,34.2,25.9,0.0
ERR019557,paired,444122,48669157,63.8,30,54,60,33.0,28.6,0.0
ERR019857,paired,1047375,109325467,63.3,30,52,60,29.3,23.6,0.0
ERR019573,paired,2302594,249441474,63.4,30,54,60,31.7,24.2,0.0
ERR019858,paired,1191354,124580451,63.4,30,52,60,29.5,23.9,0.0
ERR019861,paired,960324,100389710,63.4,30,52,60,29.5,24.0,0.0
ERR017794,paired,2289768,249362051,62.9,30,54,60,32.3,26.8,0.0
ERR019552,paired,949151,104021235,62.8,30,54,60,33.0,28.5,0.0
ERR015614,paired,23652351,2340803243,64.8,30,49,50,34.1,26.1,0.0
ERR019854,paired,2024935,211374362,64.3,30,52,60,29.5,23.9,0.0
ERR019564,paired,2291297,248323989,63.4,30,54,60,31.7,24.3,0.0
ERR019569,paired,2561668,277556553,63.3,30,54,60,31.6,24.2,0.0
ERR015613,paired,13730402,1366573059,64.9,30,49,50,35.3,28.7,0.0
ERR019570,paired,3069503,332635600,63.4,30,54,60,31.7,24.3,0.0
ERR019556,paired,779445,85416791,63.7,30,54,60,33.0,28.5,0.0
ERR017789,paired,1120560,121669526,63.5,30,54,60,32.1,26.0,0.0
ERR017792,paired,1540888,167908413,62.5,30,54,60,32.3,26.9,0.0
ERR015609,paired,22460364,2220429427,64.6,30,49,50,34.2,26.3,0.0
ERR017780,paired,3476368,377319695,64.5,30,54,60,32.0,25.8,0.0
ERR019559,paired,793009,86898800,64,30,54,60,33.0,28.5,0.0
ERR017783,paired,1827915,198491124,63.4,30,54,60,32.0,25.7,0.0
ERR019551,paired,192088,21052715,63.8,30,54,60,33.0,28.5,0.0
ERR019572,paired,2545490,275911626,62.1,30,54,60,31.7,24.4,0.0
