Seqfile,seqtype,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,AvgQual,ErrQual,Ambiguous
ERR019864,paired,120344,13684452,61.4,53,56,60,22.7,9.3,2.8
ERR019861,paired,1157928,132003792,63.9,54,57,60,26.9,13.0,0.0
ERR019573,paired,2410240,274767360,63.6,54,57,60,30.9,20.0,0.2
ERR019859,paired,979530,111666420,64,54,57,60,26.5,12.4,0.0
ERR015615,paired,17157673,1853028684,64.9,54,54,54,34.5,23.7,0.0
ERR017784,paired,2227746,253963044,63.7,54,57,60,31.2,20.3,0.1
ERR017791,paired,1132091,129058374,63.6,54,57,60,31.2,20.1,0.1
ERR019853,paired,1031944,117641616,63.3,54,57,60,26.8,12.9,0.0
ERR019557,paired,466740,53208360,63.5,54,57,60,32.7,24.6,0.2
ERR017802,paired,1495817,170523138,63.8,54,57,60,31.6,21.3,0.1
ERR017787,paired,1769556,201729384,63.6,54,57,60,31.4,20.6,0.1
ERR019550,paired,81820,9310804,39.2,53,56,60,21.1,8.7,13.5
ERR019556,paired,800142,91216188,63.6,54,57,60,32.7,24.5,0.2
ERR019560,paired,393350,44841900,63.5,54,57,60,32.7,24.6,0.2
ERR019870,paired,1796530,204804420,64.1,54,57,60,25.6,11.4,0.0
ERR017781,paired,2402470,273881580,60.4,54,57,60,31.6,21.2,0.1
ERR017788,paired,2408871,274611294,63,54,57,60,31.3,20.5,0.1
ERR019572,paired,2733262,311591868,62.4,54,57,60,30.8,19.4,0.2
ERR017795,paired,1182054,134754156,63.7,54,57,60,31.5,20.9,0.1
ERR017801,paired,2619236,298592904,62.9,54,57,60,31.4,20.4,0.1
ERR019574,paired,5146202,586667028,62.7,54,57,60,30.7,19.3,0.2
ERR019852,paired,1985209,226313826,63.6,54,57,60,25.7,11.5,0.0
ERR015613,paired,14215209,1535242572,64.8,54,54,54,34.7,24.1,0.1
ERR019876,paired,960093,109450602,64.3,54,57,60,26.1,12.0,0.0
ERR019565,paired,3004289,342488946,63,54,57,60,28.2,14.9,0.2
ERR019559,paired,831073,94742322,63.7,54,57,60,32.7,24.5,0.2
ERR017777,paired,260612,29627697,48.7,53,56,60,23.4,8.9,22.0
ERR019865,paired,736070,83911980,63.9,54,57,60,25.5,11.3,0.0
ERR019866,paired,1059552,120788928,63.2,54,57,60,26.1,11.9,0.0
ERR019869,paired,753509,85900026,64.1,54,57,60,25.9,11.8,0.0
ERR015611,paired,22579956,2438635248,64.7,54,54,54,33.2,20.9,0.2
ERR015614,paired,24606135,2657462580,64.9,54,54,54,33.2,21.5,0.1
ERR015612,paired,21077420,2276361360,64.7,54,54,54,33.7,22.3,0.2
ERR019863,paired,784412,89422968,64.1,54,57,60,26.8,12.9,0.0
ERR017786,paired,2120964,241789896,63.9,54,57,60,31.1,19.8,0.1
ERR019873,paired,572459,65260326,64.4,54,57,60,25.1,10.9,0.0
ERR017797,paired,4962311,565703454,64.1,54,57,60,31.5,20.8,0.1
ERR019562,paired,1098932,125278248,63.3,54,57,60,32.6,24.4,0.2
ERR019860,paired,1407521,160457394,64.1,54,57,60,26.3,12.2,0.1
ERR017779,paired,1595632,181902048,63,54,57,60,31.3,20.5,0.1
ERR019558,paired,883224,100687536,63,54,57,60,32.7,24.7,0.2
ERR017783,paired,2008609,228981426,63.6,54,57,60,31.0,19.6,0.1
ERR017789,paired,1193898,136104372,63.8,54,57,60,31.3,20.4,0.1
ERR019553,paired,921394,105038916,64.4,54,57,60,32.5,24.2,0.2
ERR017790,paired,237416,26989200,46.3,53,56,60,22.7,8.4,25.7
ERR017780,paired,3727019,424880166,64.7,54,57,60,31.2,20.2,0.1
ERR017793,paired,1617866,184436724,65,54,57,60,31.6,21.4,0.1
ERR019569,paired,2766582,315390348,63.5,54,57,60,30.6,19.1,0.2
ERR019855,paired,1542076,175796664,60.7,54,57,60,27.6,13.7,0.1
ERR019568,paired,4193631,478073934,63.7,54,57,60,30.6,19.0,0.2
ERR019851,paired,117286,13336552,61.4,53,56,60,23.6,9.8,2.4
ERR017778,paired,2944453,335667642,63.6,54,57,60,30.7,19.0,0.1
ERR019872,paired,1060480,120894720,64.3,54,57,60,25.8,11.7,0.0
ERR015610,paired,17072824,1843864992,64.8,54,54,54,34.2,23.2,0.1
ERR019856,paired,1281304,146068656,64,54,57,60,26.5,12.5,0.0
ERR017792,paired,1666405,189970170,62.7,54,57,60,31.6,21.1,0.1
ERR019564,paired,2419602,275834628,63.5,54,57,60,30.9,19.9,0.2
ERR019563,paired,258253,29364021,51.8,53,56,60,23.9,9.5,17.9
ERR019871,paired,3193244,364029816,64.5,54,57,60,25.8,11.7,0.0
ERR017794,paired,2460105,280451970,63.1,54,57,60,31.6,21.3,0.1
ERR019575,paired,2494594,284383716,63.6,54,57,60,30.8,19.7,0.2
ERR019858,paired,1464707,166976598,63.9,54,57,60,26.6,12.6,0.0
ERR019854,paired,2488791,283722174,65,54,57,60,26.5,12.6,0.1
ERR015616,paired,19038094,2056114152,64.8,54,54,54,34.2,23.1,0.2
ERR019868,paired,1575870,179649180,63.5,54,57,60,26.2,12.1,0.0
ERR019857,paired,1327059,151284726,63.8,54,57,60,26.0,12.0,0.1
ERR017799,paired,876863,99962382,64,54,57,60,31.1,19.6,0.1
ERR019571,paired,3391308,386609112,63.5,54,57,60,30.7,19.4,0.2
ERR017798,paired,1640534,187020876,63.9,54,57,60,31.4,20.6,0.1
ERR019551,paired,210331,23977734,63,54,57,60,32.7,24.6,0.2
ERR017785,paired,1471427,167742678,63.7,54,57,60,31.1,19.8,0.1
ERR017796,paired,2813631,320753934,63.8,54,57,60,31.3,20.3,0.1
ERR019552,paired,994699,113395686,62.4,54,57,60,32.7,24.5,0.2
ERR019867,paired,1063946,121289844,65.4,54,57,60,26.1,12.1,0.0
ERR019874,paired,1473189,167943546,64.5,54,57,60,26.2,12.1,0.0
ERR019555,paired,810435,92389590,62.8,54,57,60,32.7,24.6,0.2
ERR017800,paired,2302039,262432446,64,54,57,60,31.7,21.5,0.1
ERR019570,paired,3284155,374393670,63.6,54,57,60,30.7,19.4,0.2
ERR015609,paired,23465587,2534283396,64.8,54,54,54,33.2,21.1,0.1
ERR019875,paired,1679868,191504952,63.3,54,57,60,25.7,11.6,0.0
ERR019561,paired,455064,51877296,62.6,54,57,60,32.7,24.5,0.2
ERR019862,paired,1575674,179626836,63.3,54,57,60,26.8,12.9,0.0
ERR017782,paired,1959238,223353132,63.7,54,57,60,31.2,20.0,0.1
