Isolate	Reads	Yield	GeeCee	MinLen	AvgLen	MaxLen	AvgQual	ErrQual	Ambiguous
SRR12072624	1517056	453134453	51.5	51	149	150	31.3	22.1	0.0
SRR12072397	760668	455847943	52.2	60	299	300	29.1	16.8	0.0
SRR12072398	930878	557943009	55	65	299	300	29.4	16.9	0.0
SRR12072403	871302	522195899	55.5	60	299	300	28.1	16.4	0.0
SRR12072393	926266	555103096	52.1	95	299	300	27.6	16.1	0.0
SRR12072605	1370994	409705772	54.7	51	149	150	31.3	22.0	0.0
SRR12072627	1551534	463555252	53.9	52	149	150	31.3	22.1	0.0
SRR12072643	1698884	507653760	53.6	51	149	150	31.3	22.0	0.0
SRR12072399	749271	449001088	55.7	55	299	300	29.0	16.7	0.0
SRR12072402	841728	504445402	55.7	65	299	300	28.5	16.4	0.0
SRR12072404	1252478	750628400	56.5	85	299	300	30.3	17.3	0.0
SRR12072392	1039231	622761975	55.1	55	299	300	29.6	17.5	0.0
SRR12072395	732711	439134169	55.6	80	299	300	28.0	16.3	0.0
SRR12072633	1850680	552921415	56	51	149	150	31.4	22.1	0.0
SRR12072394	1180470	707450808	52.2	65	299	300	30.9	17.9	0.0
SRR12072400	930208	557539901	55.1	100	299	300	29.5	17.0	0.0
SRR12072625	1602997	478691336	54.5	51	149	150	31.3	22.0	0.0
SRR12072634	1571747	469555029	54	51	149	150	31.3	22.1	0.0
SRR12072610	1886747	564179953	53	51	149	150	34.0	26.2	0.0
SRR12072645	1417814	423503349	54	51	149	150	31.5	22.2	0.0
SRR12072649	1714645	511797174	56.3	51	149	150	31.5	22.2	0.0
SRR12072613	2149095	642590589	53.2	51	149	150	34.0	26.2	0.0
SRR12072646	1421459	424579343	54.1	53	149	150	31.5	22.2	0.0
SRR12072641	929278	277842841	55.7	51	149	150	32.9	23.8	0.0
SRR12072621	2138316	639005150	53.9	51	149	150	31.3	22.0	0.0
SRR12072635	1416169	422623122	55.1	52	149	150	32.9	23.9	0.0
SRR12072647	1595823	476776807	54.2	52	149	150	31.2	22.0	0.0
SRR12072644	1416707	423072647	50.5	51	149	150	32.5	23.4	0.0
SRR12072629	1759918	525673377	55.4	51	149	150	31.3	22.1	0.0
SRR12072607	1352184	403913078	54.3	51	149	150	31.2	22.0	0.0
SRR12072606	959112	286727645	49.7	51	149	150	32.4	23.3	0.0
SRR12072632	1008111	300743299	53.7	51	149	150	30.9	21.6	0.0
SRR12072623	1477482	441298035	49.8	51	149	150	32.0	22.6	0.0
SRR12072631	752756	218734016	56.3	51	145	150	31.5	22.0	0.0
SRR12072618	1911908	569791060	50.8	51	149	150	33.8	25.7	0.0
SRR12072614	1118383	327391702	49.5	51	146	150	31.4	21.9	0.0
SRR12072616	2491323	741848434	56.7	51	148	150	33.7	25.7	0.0
SRR12072628	1538809	460169219	52.3	51	149	150	34.0	26.3	0.0
SRR12072638	1096147	327753598	50.1	51	149	150	32.5	23.3	0.0
SRR12072609	1321091	394856655	53.7	53	149	150	31.3	22.0	0.0
SRR12072636	1026398	306860177	55.1	51	149	150	32.7	23.6	0.0
SRR12072648	1346804	402324308	50.5	52	149	150	32.6	23.6	0.0
SRR12072650	1379105	411952509	53.7	51	149	150	31.1	21.8	0.0
SRR12072642	2282808	673621284	50.8	51	147	150	31.5	22.1	0.0
SRR12072626	1472257	439352804	54.4	51	149	150	32.8	23.8	0.0
SRR12072617	1546818	462034438	49.8	51	149	150	32.6	23.5	0.0
SRR12072639	825011	246464736	54.8	51	149	150	32.9	23.9	0.0
SRR12072615	1536310	458927052	50.1	51	149	150	32.6	23.5	0.0
SRR12072637	1532908	455439792	55.5	51	148	150	31.2	21.8	0.0
SRR12072619	2867861	857316185	49.8	51	149	150	33.4	24.8	0.0
SRR12072620	1408872	420757674	55.7	51	149	150	32.9	23.9	0.0
SRR12072640	2727450	785712368	55.5	51	144	150	31.8	22.4	0.0
SRR12072612	1653835	488221310	56.3	51	147	150	31.3	21.8	0.0
SRR12072608	1454808	434490481	54.8	51	149	150	32.4	23.2	0.0
SRR12072401	1751491	523477018	51.4	51	149	150	33.5	25.0	0.0
SRR12072396	1820451	543839998	53.8	52	149	150	33.7	25.5	0.0
SRR12072630	4100686	1181351754	54.6	51	144	150	31.9	22.5	0.0
SRR12072622	1902691	568847040	50.5	51	149	150	32.5	23.4	0.0
SRR12072611	1468285	438740036	50.8	51	149	150	32.6	23.5	0.0
