Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,environment_(biome),environment_(material)
SRR8731620,WGS,184,32626909,PRJNA516442,SAMN11135460,22371927,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524495,Illumina HiSeq 2000,187 Standard,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,187 Standard,SRP188475,human lung,sputum
SRR8731621,WGS,184,150739214,PRJNA516442,SAMN11135462,100879801,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524496,Illumina HiSeq 2000,186 Molysis NonFrozen Sputum,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Molysis NonFrozen Sputum,SRP188475,human lung,sputum
SRR8731622,WGS,184,273656366,PRJNA516442,SAMN11135464,184806982,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524497,Illumina HiSeq 2000,186 Molysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Molysis,SRP188475,human lung,sputum
SRR8731623,WGS,183,203582502,PRJNA516442,SAMN11135465,140200828,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524498,Illumina HiSeq 2000,186 Benzonase1 Test Set 1,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Benzonase1 Test Set 1,SRP188475,human lung,sputum
SRR8731624,WGS,184,56266346,PRJNA516442,SAMN11135467,38048325,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524499,Illumina HiSeq 2000,186 Antibody Depletion NonFrozen Sputum,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Antibody Depletion NonFrozen Sputum,SRP188475,human lung,sputum
SRR8731625,WGS,184,71717102,PRJNA516442,SAMN11135469,48550954,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524500,Illumina HiSeq 2000,186 Antibody Depletion,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Antibody Depletion,SRP188475,human lung,sputum
SRR8731626,WGS,184,39971877,PRJNA516442,SAMN11135471,27576123,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524501,Illumina HiSeq 2000,186 Cell Lysis,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Cell Lysis,SRP188475,human lung,sputum
SRR8731627,WGS,183,457654018,PRJNA516442,SAMN11135472,317836422,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524502,Illumina HiSeq 2000,186 Benzonase1 NonFrozen Sputum,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Benzonase1 NonFrozen Sputum,SRP188475,human lung,sputum
SRR8731628,WGS,184,48287716,PRJNA516442,SAMN11135474,32984063,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524503,Illumina HiSeq 2000,186 Standard NonFrozen Sputum,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Standard NonFrozen Sputum,SRP188475,human lung,sputum
SRR8731629,WGS,184,34423519,PRJNA516442,SAMN11135475,23241589,UWML,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5524504,Illumina HiSeq 2000,186 Standard Test Set 1,PAIRED,RANDOM,METAGENOMIC,human lung metagenome,ILLUMINA,2019-10-09T00:00:00Z,186 Standard Test Set 1,SRP188475,human lung,sputum
