Isolate,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,AvgQual,ErrQual,Ambiguous
ERR552937,698524,395476631,65,35,283,301,33.1,19.6,0.0
ERR046855,5398219,809732850,64.9,75,75,75,31.2,17.1,0.1
ERR551732,8198816,1656160832,65.3,101,101,101,31.8,14.3,0.1
ERR1034587,70564682,14254065764,65.2,101,101,101,27.4,10.3,0.1
ERR040132,10822492,1623373800,64.9,75,75,75,31.3,17.8,0.1
SRR1162491,3420208,690882016,62.8,101,101,101,25.5,9.3,0.3
ERR036228,3312077,496811550,65.3,75,75,75,34.7,21.0,0.0
ERR1679623,689693,240914784,63.9,35,174,301,32.2,18.4,0.3
ERR040133,9138258,1370738700,64.8,75,75,75,31.9,18.1,0.1
ERR553000,667907,326497902,64.9,35,244,251,32.3,19.8,0.7
ERR1034610,12991282,2624238964,64.9,101,101,101,32.1,13.8,0.1
ERR1679637,500688,158380263,64,35,158,301,34.4,20.0,0.4
ERR551751,4507710,910557420,64.6,101,101,101,33.9,17.0,0.0
ERR400440,5043646,1008729200,65.1,100,100,100,30.9,13.7,0.0
ERR181983,1817232,363446400,65.3,100,100,100,34.9,24.2,0.0
ERR1035363,2682205,541805410,65,101,101,101,32.5,14.7,0.1
