#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR1162491/contigs.fa	NODE_124_length_11029_cov_37.095043	3413	4933	+	eccB5	1-1521/1521	===============	0/0	100.00	100.00	vfdb	NP_216298	(eccB5) ESX-5 type VII secretion system protein EccB5 [ESX-5 (VF0402)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_124_length_11029_cov_37.095043	4930	6235	+	eccCa5	1-1306/1308	===============	0/0	99.85	100.00	vfdb	NP_216299	(eccCa5) ESX-5 type VII secretion system FtsK/SpoIIIE family protein EccCa5 [ESX-5 (VF0402)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_124_length_11029_cov_37.095043	6307	9105	+	eccCb5	1-2799/2799	===============	0/0	100.00	99.96	vfdb	NP_216300	(eccCb5) ESX-5 type VII secretion system FtsK/SpoIIIE family protein EccCb5 [ESX-5 (VF0402)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_168_length_8798_cov_33.811849	4881	6221	+	mycP1	1-1341/1341	===============	0/0	100.00	100.00	vfdb	NP_218400	(mycP1) ESX-1 type VII secretion system subtilisin-like serine protease MycP1 [ESX-1 (VF0315)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_168_length_8798_cov_33.811849	6218	7606	+	eccE1	1-1389/1389	===============	0/0	100.00	99.93	vfdb	NP_218399	(eccE1) ESX-1 type VII secretion system EccE1 [ESX-1 (VF0315)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_170_length_8777_cov_31.790874	2505	3209	+	mgtC	1-705/705	===============	0/0	100.00	100.00	vfdb	NP_216327	(mgtC) Possible Mg2+ transport P-type ATPase C MgtC [MgtC (VF0289)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_179_length_8462_cov_31.485310	1961	2545	-	PPE41	1-585/585	===============	0/0	100.00	100.00	vfdb	YP_177881	(PPE41) PPE family protein PPE41 [ESX-5 (VF0402)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_188_length_7995_cov_40.417632	3701	4879	+	espA	1-1179/1179	===============	0/0	100.00	99.92	vfdb	NP_218133	(espA) ESX-1 type VII secretion system EspA [ESX-1 (VF0315)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_188_length_7995_cov_40.417632	4953	5264	+	espC	1-312/312	===============	0/0	100.00	100.00	vfdb	NP_218132	(espC) ESX-1 type VII secretion system EspC [ESX-1 (VF0315)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_188_length_7995_cov_40.417632	5380	5934	+	espD	1-555/555	===============	0/0	100.00	100.00	vfdb	NP_218131	(espD) ESX-1 type VII secretion system EspD [ESX-1 (VF0315)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_197_length_7642_cov_35.166205	2751	5123	-	relA	1-2373/2373	===============	0/0	100.00	99.96	vfdb	NP_217099	(relA) Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase) (PPGPP synthetase I) ((P)PPGPP synthetase) (GTP diphosphokinase) [RelA (VF0287)] [Mycobacterium tuberculosis H37Rv]	
SRR1162491/contigs.fa	NODE_247_length_6008_cov_31.904082	246	1241	+	eccE3	1-996/996	===============	0/0	100.00	99.90	vfdb	NP_214806	(eccE3) Type VII secretion system transmembrane protein EccE3 [ESX-3 (VF0521)] [Mycobacterium tuberculosis H37Rv]	
