#FILE	NUM_FOUND	aac(2')-Ic	blaA_Mtub	erm(37)
ERR036228/resistome.tab	3	100.00	100.00	100.00
ERR040132/resistome.tab	3	100.00	100.00	100.00
ERR040133/resistome.tab	3	100.00	100.00	100.00
ERR046855/resistome.tab	3	100.00	100.00	100.00
ERR1034587/resistome.tab	3	100.00	100.00	100.00
ERR1034610/resistome.tab	3	100.00	100.00	100.00
ERR1035363/resistome.tab	3	100.00	100.00	100.00
ERR1679623/resistome.tab	3	100.00	100.00	100.00
ERR1679637/resistome.tab	3	100.00	100.00	100.00
ERR181983/resistome.tab	3	100.00	100.00	100.00
ERR400440/resistome.tab	3	100.00	100.00	100.00
ERR551732/resistome.tab	3	100.00	100.00	100.00
ERR551751/resistome.tab	3	100.00;100.00	100.00	100.00
ERR552937/resistome.tab	3	100.00	100.00	100.00
ERR553000/resistome.tab	3	100.00	100.00	100.00
SRR1162491/resistome.tab	3	100.00	100.00	100.00
