Name	no	bp	ok	Ns	gaps	min	avg	max	N50
ERR036228/contigs.fa	177	4254254	4252920	1334	0	213	24035	180126	80234
ERR040132/contigs.fa	218	4295974	4294752	1222	0	201	19706	151001	54376
ERR040133/contigs.fa	242	4315409	4313585	1824	0	200	17832	148465	55186
ERR046855/contigs.fa	200	4328810	4326854	1956	0	202	21644	226122	81256
ERR1034587/contigs.fa	134	4385941	4383725	2216	0	205	32730	242794	116584
ERR1034610/contigs.fa	430	4504250	4500838	3412	0	203	10475	280205	140306
ERR1035363/contigs.fa	107	4344950	4343373	1577	0	200	40607	298439	141329
ERR1679623/contigs.fa	262	4357776	4357282	494	0	208	16632	106364	43799
ERR1679637/contigs.fa	285	4347649	4347357	292	0	201	15254	75895	37343
ERR181983/contigs.fa	160	4387938	4384735	3203	0	203	27424	221818	114343
ERR400440/contigs.fa	249	4332451	4331095	1356	0	201	17399	162411	57190
ERR551732/contigs.fa	134	4339511	4337542	1969	0	201	32384	224543	143878
ERR551751/contigs.fa	151	4388839	4387639	1200	0	205	29065	203607	93224
ERR552937/contigs.fa	182	4365056	4364367	689	0	242	23983	206726	71283
ERR553000/contigs.fa	241	4371591	4370853	738	0	206	18139	221211	67783
SRR1162491/contigs.fa	925	4262378	4260230	2148	0	207	4607	56420	10900
