	ERR036228	ERR040132	ERR040133	ERR046855	ERR1034587	ERR1034610	ERR1035363	ERR1679623	ERR1679637	ERR181983	ERR400440	ERR551732	ERR551751	ERR552937	ERR553000	Reference	SRR1162491
ERR036228	0	366	968	1543	978	1531	658	1580	1554	1536	595	1705	965	804	1708	644	784
ERR040132	366	0	958	1533	970	1523	646	1566	1540	1524	585	1689	955	794	1692	636	774
ERR040133	968	958	0	1673	318	1663	1042	1701	1677	1666	981	1833	337	890	1833	1032	872
ERR046855	1543	1533	1673	0	1684	870	1621	1738	1715	797	1558	1870	1670	1505	1869	1608	1487
ERR1034587	978	970	318	1684	0	1673	1052	1710	1689	1678	993	1843	349	897	1842	1044	879
ERR1034610	1531	1523	1663	870	1673	0	1609	1731	1711	861	1548	1858	1660	1493	1861	1600	1474
ERR1035363	658	646	1042	1621	1052	1609	0	1652	1628	1612	611	1775	1039	874	1778	698	852
ERR1679623	1580	1566	1701	1738	1710	1731	1652	0	180	1733	1593	1783	1698	1541	1785	1638	1523
ERR1679637	1554	1540	1677	1715	1689	1711	1628	180	0	1709	1567	1759	1674	1518	1762	1612	1500
ERR181983	1536	1524	1666	797	1678	861	1612	1733	1709	0	1549	1863	1663	1500	1866	1601	1482
ERR400440	595	585	981	1558	993	1548	611	1593	1567	1549	0	1714	978	811	1717	635	789
ERR551732	1705	1689	1833	1870	1843	1858	1775	1783	1759	1863	1714	0	1828	1663	763	1769	1645
ERR551751	965	955	337	1670	349	1660	1039	1698	1674	1663	978	1828	0	887	1830	1029	869
ERR552937	804	794	890	1505	897	1493	874	1541	1518	1500	811	1663	887	0	1661	870	160
ERR553000	1708	1692	1833	1869	1842	1861	1778	1785	1762	1866	1717	763	1830	1661	0	1771	1643
Reference	644	636	1032	1608	1044	1600	698	1638	1612	1601	635	1769	1029	870	1771	0	848
SRR1162491	784	774	872	1487	879	1474	852	1523	1500	1482	789	1645	869	160	1643	848	0
