Seqfile,seqtype,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,AvgQual,ErrQual,Ambiguous
ERR552937,paired,689506,379347464,65,50,275,300,33.7,21.1,0.0
ERR046855,paired,4657906,670732177,64.1,50,72,75,33.1,21.5,0.0
ERR551732,paired,6214212,1209906362,65.2,50,97,100,34.3,25.8,0.0
ERR1034587,paired,54382122,10275291829,64.8,50,94,100,33.4,23.7,0.0
ERR040132,paired,9774943,1416979900,64.5,50,72,75,32.7,21.5,0.0
SRR1162491,paired,2331959,447228953,63.9,50,95,100,32.9,23.0,0.0
ERR036228,paired,3148234,464960219,64.9,50,73,75,35.4,24.5,0.0
ERR1679623,paired,644247,220852113,64.5,50,171,300,33.3,20.9,0.0
ERR040133,paired,8164179,1185434443,64.6,50,72,75,33.2,21.9,0.0
ERR553000,paired,652402,316575934,65.4,50,242,250,32.6,21.5,0.0
ERR1034610,paired,11649182,2254511765,64.5,50,96,100,34.9,26.5,0.0
ERR1679637,paired,452224,146702069,64.6,50,162,300,35.2,23.5,0.0
ERR551751,paired,4230773,831809963,64.5,50,98,100,35.3,28.0,0.0
ERR400440,paired,4551272,872997950,64.9,50,95,100,33.5,23.8,0.0
ERR181983,paired,1796096,358003032,65.3,50,99,100,35.0,25.3,0.0
ERR1035363,paired,2515755,483918622,64.8,50,96,100,34.7,26.1,0.0
