#FILE	NUM_FOUND	PE35	PE5	PPE4	PPE41	Rv1794	eccA1	eccA3	eccA5	eccB1	eccB3	eccB5	eccC3	eccCa1	eccCa5	eccCb1	eccCb5	eccD1	eccD3	eccD5	eccE1	eccE3	eccE5	erp	espA	espB	espC	espD	espG3	espK	esxA	esxB	esxG	esxH	esxM	esxN	fbpA	fbpB	fbpC	hbhA	hspX	icl	ideR	irtA	irtB	lipF	mbtA	mbtB	mbtC	mbtD	mbtE	mbtF	mbtG	mbtH	mbtI	mbtJ	mbtK	mbtL	mbtM	mbtN	mgtC	mycP1	mycP3	mycP5	phoP	phoR	relA
ERR036228/virulome.tab	65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00;99.66	100.00;99.30	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR040132/virulome.tab	63	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	98.64;100.00	100.00;100.00	99.33;99.66;100.00;99.33;99.66	100.00;99.30;100.00;100.00;99.65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR040133/virulome.tab	64	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	98.82	100.00	100.00	100.00	99.85	98.31	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	99.66;99.66;100.00	99.65;99.30;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR046855/virulome.tab	65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	98.64;100.00	100.00;100.00	99.33;99.33;100.00;99.66	100.00;100.00;100.00;99.65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR1034587/virulome.tab	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.66;99.66;99.33;100.00;99.33	99.65;99.30;100.00;100.00;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR1034610/virulome.tab	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	91.25	100.00	100.00	100.00	100.00	100.00	100.00	98.25	100.00	100.00	100.00	99.82	100.00	100.00	100.00	100.00	100.00;98.64	100.00;100.00	100.00;99.33;99.66;99.33	100.00;100.00;99.65;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR1035363/virulome.tab	65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.70	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00;98.64	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR1679623/virulome.tab	65	99.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.58	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	99.95	100.00	100.00	100.00;98.64	100.00;100.00	99.66;84.18;100.00;99.33	99.30;100.00;96.14;100.00;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR1679637/virulome.tab	65	99.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.58	100.00	100.00	100.00	99.85	100.00	91.75	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	99.95	100.00	100.00	100.00;98.64	100.00;100.00	100.00;84.18;99.66;84.18	100.00;100.00;99.30;98.95;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERR181983/virulome.tab	66	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00;98.64	100.00;100.00	99.33;100.00;99.66;99.66;99.33	100.00;100.00;99.30;99.65;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
